b1,p1,sell,5,20210101,100
b2,p2,sell,10,20210102,200
b3,p3,sell,15,20210103,300
b4,p4,sell,20,20210104,400
b5,p5,sell,25,20210105,500
b6,p1,buy,5,20210106,100
b7,p2,buy,10,20210107,200
b8,p3,buy,15,20210108,300
b9,p4,buy,20,20210109,400
b10,p5,buy,25,20210110,500
b11,p1,sell,5,20210111,100
b12,p2,sell,10,20210112,200
b13,p3,sell,15,20210113,300
b14,p4,sell,20,20210114,400
b15,p5,sell,25,20210115,500
b16,p1,buy,5,20210116,100
b17,p2,buy,10,20210117,200
b18,p3,buy,15,20210118,300
b19,p4,buy,20,20210119,400
b20,p5,buy,25,20210120,500
